type,i_located,average_pearsonr,average_r2,average_mae,model,order
Pfam-CV,1,0.5822979354341616,0.33626562988425085,1.2011147862954596,GraphBAR,7
Pfam-CV,2,0.569226672613821,0.3220815396674179,1.22327617986098,GraphBAR,7
Pfam-CV,3,0.567358447116213,0.3206544292484328,1.2200778090812412,GraphBAR,7
Pfam-CV,4,0.5669202457462391,0.3136130511342733,1.2215274160332612,GraphBAR,7
Pfam-CV,5,0.5673179627417402,0.31838197208272634,1.214047011343269,GraphBAR,7
Pfam-CV,6,0.5428423151135756,0.2854498958722861,1.242973316354414,GraphBAR,7
Pfam-CV,7,0.5616013764003821,0.31012410117062844,1.2270366820475505,GraphBAR,7
Pfam-CV,8,0.5591459095912799,0.3035601913938097,1.2313167502559663,GraphBAR,7
Pfam-CV,9,0.5720583286923128,0.31077459822691605,1.2219268998628408,GraphBAR,7
Pfam-CV,10,0.586902652054813,0.3360064344251554,1.20817999396903,GraphBAR,7
Random-CV,1,0.6829103343259431,0.462040837783261,1.0772001727752558,GraphBAR,7
Random-CV,2,0.6791506742856338,0.458915986054062,1.0828726758114045,GraphBAR,7
Random-CV,3,0.6742756364305013,0.4528836118066625,1.0909579311376565,GraphBAR,7
Random-CV,4,0.6780721028063165,0.4553446850962268,1.0854656412468102,GraphBAR,7
Random-CV,5,0.6787724968006138,0.4574640866561615,1.0831575444155148,GraphBAR,7
Random-CV,6,0.6740543102430978,0.4512582940953387,1.0918722534989742,GraphBAR,7
Random-CV,7,0.6753960240604937,0.4457227097779332,1.0960006407733018,GraphBAR,7
Random-CV,8,0.6816188288505654,0.4603278649555693,1.08444091564141,GraphBAR,7
Random-CV,9,0.6842739974902541,0.4652292004405411,1.0760400887486723,GraphBAR,7
Random-CV,10,0.6769171213167899,0.4568595381166983,1.0867109709515437,GraphBAR,7
Seq-CV,1,0.5745132327798043,0.31909725074527323,1.204173940905574,GraphBAR,7
Seq-CV,2,0.5813518707754922,0.3349172882108561,1.2089972444335728,GraphBAR,7
Seq-CV,3,0.5658789808693477,0.312483303628254,1.2139740339275509,GraphBAR,7
Seq-CV,4,0.5824198569105116,0.3361026344134448,1.2000072389683665,GraphBAR,7
Seq-CV,5,0.5726562022188927,0.32339586911998497,1.2068365108924273,GraphBAR,7
Seq-CV,6,0.5845998049316746,0.3394614321777987,1.2033764450894668,GraphBAR,7
Seq-CV,7,0.5728746648483305,0.31427006361627674,1.2216832461209182,GraphBAR,7
Seq-CV,8,0.5517360988835794,0.29923098437477585,1.2207275105694098,GraphBAR,7
Seq-CV,9,0.5775548657610615,0.3315144198385465,1.212628534747165,GraphBAR,7
Seq-CV,10,0.5700898693171946,0.3163753545230137,1.219031818566085,GraphBAR,7
Pfam-CV,1,0.48513965844508,0.15838662060297695,1.3482085666666668,IGN,5
Pfam-CV,2,0.4862135354474844,0.15025902929319102,1.3317886333333335,IGN,5
Pfam-CV,3,0.4651592779783744,0.1416011864332427,1.3426497,IGN,5
Pfam-CV,4,0.471129573138695,0.1304543219167205,1.3693524666666663,IGN,5
Pfam-CV,5,0.4331285123936528,0.13233982446634562,1.3603360333333334,IGN,5
Pfam-CV,6,0.4773958299613596,0.16933872307230605,1.3267130333333337,IGN,5
Pfam-CV,7,0.5262343832177395,0.23216747719096084,1.2974674666666666,IGN,5
Pfam-CV,8,0.4344761817622576,0.1058168922404698,1.3702889333333337,IGN,5
Pfam-CV,9,0.4541769940097698,0.12303721150222552,1.3504515333333331,IGN,5
Pfam-CV,10,0.4953196992333,0.20170328,1.3180989,IGN,5
Random-CV,1,0.6903394365084529,0.4738974144409331,1.0618497,IGN,5
Random-CV,2,0.6903442326369734,0.474231814614597,1.0531628333333334,IGN,5
Random-CV,3,0.6455662456207697,0.371558325112858,1.0578253999999998,IGN,5
Random-CV,4,0.6926501667989354,0.4724754661014369,1.0552505333333333,IGN,5
Random-CV,5,0.6627237331655911,0.4219087270431787,1.0607247333333334,IGN,5
Random-CV,6,0.6807589229452886,0.4543697929754538,1.0615179,IGN,5
Random-CV,7,0.6785291655070299,0.4495168394294416,1.0490967333333332,IGN,5
Random-CV,8,0.6793097876694019,0.4582442238609776,1.0594539666666665,IGN,5
Random-CV,9,0.694498500231895,0.4790393340095132,1.0516084666666667,IGN,5
Random-CV,10,0.6765447289923849,0.45174118931146995,1.0671093,IGN,5
Seq-CV,1,0.49045690396763897,0.2038379538146309,1.2965657666666666,IGN,5
Seq-CV,2,0.4660993448516624,0.17122904749065854,1.3154911666666669,IGN,5
Seq-CV,3,0.5102602869138516,0.21447857461381128,1.2907075,IGN,5
