cluster,pdb
Cluster 0,1dwd
Cluster 0,1v2t
Cluster 0,4jk5
Cluster 0,1w0y
Cluster 0,3m36
Cluster 0,3ati
Cluster 0,2bmg
Cluster 0,1o5g
Cluster 0,6rot
Cluster 0,3aas
Cluster 0,2fx6
Cluster 0,1hgt
Cluster 0,1qbn
Cluster 0,5zfi
Cluster 0,3nk8
Cluster 0,1v2o
Cluster 0,1nfx
Cluster 0,5lce
Cluster 0,1f0u
Cluster 0,1f0r
Cluster 0,5q0d
Cluster 0,1utj
Cluster 0,2nwn
Cluster 0,6bfp
Cluster 0,1gi6
Cluster 0,1wtg
Cluster 0,5mnn
Cluster 0,1o2u
Cluster 0,6qmt
Cluster 0,6qff
Cluster 0,2psx
Cluster 0,4x6o
Cluster 0,4baq
Cluster 0,1f0t
Cluster 0,1mq5
Cluster 0,5zae
Cluster 0,1v2n
Cluster 0,5zah
Cluster 0,4abh
Cluster 0,2uwp
Cluster 0,3dux
Cluster 0,5q0g
Cluster 0,4os6
Cluster 0,1o5a
Cluster 0,4o9v
Cluster 0,4bam
Cluster 0,1ktt
Cluster 0,2fpz
Cluster 0,5jzy
Cluster 0,1b5g
Cluster 0,5egm
Cluster 0,3sw2
Cluster 0,4h42
Cluster 0,1o3b
Cluster 0,1v2w
Cluster 0,1gjb
Cluster 0,1qb6
Cluster 0,2p16
Cluster 0,1tom
Cluster 0,1k1j
Cluster 0,5exm
Cluster 0,6eo8
Cluster 0,6d3x
Cluster 0,2fs8
Cluster 0,2flr
Cluster 0,2ei6
Cluster 0,1rxp
Cluster 0,4abj
Cluster 0,1qbo
Cluster 0,4yzu
Cluster 0,2ank
Cluster 0,1o37
Cluster 0,2zp0
Cluster 0,2bdy
Cluster 0,1ets
Cluster 0,1c5x
Cluster 0,1zgi
Cluster 0,1utl
Cluster 0,3qto
Cluster 0,1v2m
Cluster 0,1c5q
Cluster 0,1vj9
Cluster 0,1vr1
Cluster 0,2j2u
Cluster 0,1o39
Cluster 0,1tmb
Cluster 0,4y79
Cluster 0,1ghw
Cluster 0,3kqe
Cluster 0,2w3k
Cluster 0,2r2m
Cluster 0,4u2w
Cluster 0,3shc
Cluster 0,1c5z
Cluster 0,1hdt
Cluster 0,3rxh
Cluster 0,5eg4
Cluster 0,1bra
Cluster 0,1w2k
Cluster 0,2viq
Cluster 0,4mnw
Cluster 0,3atm
Cluster 0,4y8z
Cluster 0,1aht
Cluster 0,2j4i
Cluster 0,5mnc
Cluster 0,2jkh
Cluster 0,1gi1
Cluster 0,1o2z
Cluster 0,2aei
Cluster 0,3rxg
Cluster 0,1ype
Cluster 0,1tps
Cluster 0,4zhm
Cluster 0,2anm
Cluster 0,2c8x
Cluster 0,4ab9
Cluster 0,6qfg
Cluster 0,1o2k
Cluster 0,2vvc
Cluster 0,3e0p
Cluster 0,1j17
Cluster 0,2j94
Cluster 0,2y5h
Cluster 0,5nar
Cluster 0,2viv
Cluster 0,2vh0
Cluster 0,6a8g
Cluster 0,3qn7
Cluster 0,1sb1
Cluster 0,2wyg
Cluster 0,1f5l
Cluster 0,1c1r
Cluster 0,1o2y
Cluster 0,4jzd
Cluster 0,1o3l
Cluster 0,2vin
Cluster 0,1c4u
Cluster 0,2c4f
Cluster 0,1k1i
Cluster 0,5tkt
Cluster 0,3kqc
Cluster 0,3m37
Cluster 0,1nt1
Cluster 0,3liw
Cluster 0,1d9i
Cluster 0,4yes
Cluster 0,2xbw
Cluster 0,4jzi
Cluster 0,2zfp
Cluster 0,1k21
Cluster 0,1g32
Cluster 0,2bxu
Cluster 0,1utm
Cluster 0,1k2i
Cluster 0,1utn
Cluster 0,2bq6
Cluster 0,1ta6
Cluster 0,2g00
Cluster 0,5za8
Cluster 0,5qtt
Cluster 0,2zdm
Cluster 0,2bvs
Cluster 0,2wyj
Cluster 0,5fck
Cluster 0,1wv7
Cluster 0,1j15
Cluster 0,2zda
Cluster 0,1g30
Cluster 0,2xbv
Cluster 0,1owd
Cluster 0,5z1c
Cluster 0,1ba8
Cluster 0,1f5k
Cluster 0,1a61
Cluster 0,6qfe
Cluster 0,5e2o
Cluster 0,1owh
Cluster 0,3v7t
Cluster 0,1d3p
Cluster 0,4x8v
Cluster 0,1w14
Cluster 0,1o2h
Cluster 0,5wb6
Cluster 0,1j14
Cluster 0,5lh4
Cluster 0,1a2c
Cluster 0,1fjs
Cluster 0,4bak
Cluster 0,4wxi
Cluster 0,2fes
Cluster 0,3pma
Cluster 0,6nmb
Cluster 0,3nkk
Cluster 0,1v2k
Cluster 0,6gwe
Cluster 0,5mno
Cluster 0,6a8n
Cluster 0,3kqd
Cluster 0,4mnv
Cluster 0,1nfy
Cluster 0,2w26
Cluster 0,5nb6
Cluster 0,1ypj
Cluster 0,4na9
Cluster 0,1w7g
Cluster 0,1awh
Cluster 0,1ny2
Cluster 0,2c93
Cluster 0,1lhg
Cluster 0,6bvh
Cluster 0,1y3v
Cluster 0,2y7x
Cluster 0,1z71
Cluster 0,2feq
Cluster 0,2zdl
Cluster 0,2q1j
Cluster 0,2vwo
Cluster 0,4ish
Cluster 0,1o2j
Cluster 0,2viw
Cluster 0,5mos
Cluster 0,4x1q
Cluster 0,4a7i
Cluster 0,1gi4
Cluster 0,1gja
Cluster 0,1d6w
Cluster 0,1o2n
Cluster 0,3bg8
Cluster 0,2cji
Cluster 0,1mue
Cluster 0,1bmn
Cluster 0,1ql7
Cluster 0,1a5g
Cluster 0,4r0i
Cluster 0,1gj4
Cluster 0,3si4
Cluster 0,2zq1
Cluster 0,4gly
Cluster 0,1o3j
Cluster 0,1v2r
Cluster 0,1o3k
Cluster 0,3rxe
Cluster 0,5e2p
Cluster 0,5nat
Cluster 0,5moq
Cluster 0,1zom
Cluster 0,2jh0
Cluster 0,4x8u
Cluster 0,4cr5
Cluster 0,1o5c
Cluster 0,3e16
Cluster 0,2zgx
Cluster 0,5lgo
Cluster 0,1z6j
Cluster 0,2j34
Cluster 0,1ce5
Cluster 0,1c4v
Cluster 0,1wu1
Cluster 0,1d3q
Cluster 0,5naw
Cluster 0,2ra0
Cluster 0,2c90
Cluster 0,1o2x
Cluster 0,1c5n
Cluster 0,1pph
Cluster 0,1y3y
Cluster 0,1o3d
Cluster 0,4a6l
Cluster 0,1o2q
Cluster 0,1o3h
Cluster 0,1nfw
Cluster 0,1aq7
Cluster 0,1o0d
Cluster 0,3rxi
Cluster 0,5za7
Cluster 0,2zq2
Cluster 0,2y81
Cluster 0,4zxx
Cluster 0,5nb7
Cluster 0,1auj
Cluster 0,2bok
Cluster 0,1sfi
Cluster 0,5q0f
Cluster 0,1lhc
Cluster 0,3rxp
Cluster 0,1eb1
Cluster 0,1v2q
Cluster 0,1w11
Cluster 0,1ett
Cluster 0,1t4v
Cluster 0,5tqg
Cluster 0,4abg
Cluster 0,2tpi
Cluster 0,1j16
Cluster 0,1o5b
Cluster 0,1o2w
Cluster 0,5mt0
Cluster 0,3rxb
Cluster 0,1doj
Cluster 0,2zdk
Cluster 0,4loy
Cluster 0,3c1k
Cluster 0,1lhd
Cluster 0,2phb
Cluster 0,1owe
Cluster 0,3sha
Cluster 0,2zhd
Cluster 0,5zaf
Cluster 0,1qcp
Cluster 0,2fs9
Cluster 0,5lh8
Cluster 0,2w3i
Cluster 0,1tni
Cluster 0,1gjc
Cluster 0,3kl6
Cluster 0,1lpk
Cluster 0,1zpc
Cluster 0,2bz6
Cluster 0,1k1o
Cluster 0,1nfu
Cluster 0,1yp9
Cluster 0,1a5h
Cluster 0,6ahs
Cluster 0,2vvv
Cluster 0,2jh6
Cluster 0,2cn0
Cluster 0,2j95
Cluster 0,1qb9
Cluster 0,1o3c
Cluster 0,1o2t
Cluster 0,4x1r
Cluster 0,4ty7
Cluster 0,3ig6
Cluster 0,4x1p
Cluster 0,4q2k
Cluster 0,3rxk
Cluster 0,1c1u
Cluster 0,2p94
Cluster 0,1y3w
Cluster 0,1ca8
Cluster 0,5tku
Cluster 0,4zae
Cluster 0,5tnt
Cluster 0,1fv9
Cluster 0,5zaj
Cluster 0,5zag
Cluster 0,1gj6
Cluster 0,4z0k
Cluster 0,1lhe
Cluster 0,2bza
Cluster 0,3m35
Cluster 0,4os4
Cluster 0,1vzq
Cluster 0,3dhk
Cluster 0,2gv6
Cluster 0,1k1m
Cluster 0,1gi7
Cluster 0,1tbz
Cluster 0,1sc8
Cluster 0,2zdn
Cluster 0,4bah
Cluster 0,4yt7
Cluster 0,5fbe
Cluster 0,1o5e
Cluster 0,2uwl
Cluster 0,4jzf
Cluster 0,1yyy
Cluster 0,3ens
Cluster 0,3rxo
Cluster 0,5yjk
Cluster 0,5mn1
Cluster 0,1o2g
Cluster 0,5mon
