cluster,pdb_num
Cluster 1179,1
Cluster 1579,1
Cluster 1577,1
Cluster 1575,1
Cluster 1574,1
Cluster 1573,1
Cluster 1572,1
Cluster 1568,1
Cluster 1564,1
Cluster 1561,1
Cluster 1558,1
Cluster 1553,1
Cluster 1551,1
Cluster 1549,1
Cluster 1548,1
Cluster 1547,1
Cluster 1545,1
Cluster 1544,1
Cluster 1541,1
Cluster 1540,1
Cluster 1539,1
Cluster 1535,1
Cluster 1534,1
Cluster 1533,1
Cluster 1580,1
Cluster 1532,1
Cluster 1581,1
Cluster 1585,1
Cluster 1623,1
Cluster 1622,1
Cluster 1620,1
Cluster 1619,1
Cluster 1617,1
Cluster 1616,1
Cluster 1614,1
Cluster 1613,1
Cluster 1612,1
Cluster 1611,1
Cluster 1609,1
Cluster 1607,1
Cluster 1606,1
Cluster 1605,1
Cluster 1604,1
Cluster 1603,1
Cluster 1601,1
Cluster 1600,1
Cluster 1597,1
Cluster 1595,1
Cluster 1594,1
Cluster 1593,1
Cluster 1592,1
Cluster 1583,1
Cluster 1625,1
Cluster 1530,1
Cluster 1527,1
Cluster 1471,1
Cluster 1467,1
Cluster 1466,1
Cluster 1465,1
Cluster 1463,1
Cluster 1459,1
Cluster 1458,1
Cluster 1457,1
Cluster 1455,1
Cluster 1453,1
Cluster 1452,1
Cluster 1451,1
Cluster 1450,1
Cluster 1449,1
Cluster 1446,1
Cluster 1444,1
Cluster 1441,1
Cluster 1436,1
Cluster 1433,1
Cluster 1430,1
Cluster 1428,1
Cluster 1424,1
Cluster 1422,1
Cluster 1472,1
Cluster 1529,1
Cluster 1473,1
Cluster 1475,1
Cluster 1526,1
Cluster 1524,1
Cluster 1522,1
Cluster 1519,1
Cluster 1517,1
Cluster 1516,1
Cluster 1513,1
Cluster 1510,1
Cluster 1506,1
Cluster 1503,1
Cluster 1502,1
Cluster 1499,1
Cluster 1498,1
Cluster 1495,1
Cluster 1494,1
Cluster 1493,1
Cluster 1487,1
Cluster 1485,1
Cluster 1484,1
Cluster 1482,1
Cluster 1481,1
Cluster 1479,1
Cluster 1478,1
Cluster 1474,1
Cluster 1628,1
Cluster 1629,1
Cluster 1630,1
Cluster 1758,1
Cluster 1757,1
Cluster 1756,1
Cluster 1755,1
Cluster 1754,1
Cluster 1751,1
Cluster 1749,1
Cluster 1744,1
Cluster 1743,1
Cluster 1741,1
Cluster 1740,1
Cluster 1737,1
Cluster 1733,1
Cluster 1732,1
Cluster 1731,1
Cluster 1730,1
Cluster 1729,1
Cluster 1728,1
Cluster 1725,1
Cluster 1723,1
Cluster 1721,1
Cluster 1719,1
Cluster 1718,1
Cluster 1759,1
Cluster 1717,1
Cluster 1760,1
Cluster 1762,1
Cluster 1794,1
Cluster 1793,1
Cluster 1792,1
Cluster 1790,1
Cluster 1789,1
Cluster 1788,1
Cluster 1787,1
Cluster 1786,1
Cluster 1785,1
Cluster 1782,1
Cluster 1780,1
Cluster 1776,1
Cluster 1775,1
Cluster 1774,1
Cluster 1773,1
Cluster 1772,1
Cluster 1771,1
Cluster 1770,1
Cluster 1769,1
Cluster 1768,1
Cluster 1767,1
Cluster 1764,1
Cluster 1763,1
Cluster 1761,1
Cluster 1710,1
Cluster 1708,1
Cluster 1705,1
Cluster 1664,1
Cluster 1663,1
Cluster 1661,1
Cluster 1660,1
Cluster 1659,1
Cluster 1656,1
Cluster 1654,1
Cluster 1653,1
Cluster 1652,1
Cluster 1651,1
Cluster 1650,1
Cluster 1648,1
Cluster 1646,1
Cluster 1645,1
Cluster 1644,1
Cluster 1643,1
Cluster 1642,1
Cluster 1640,1
Cluster 1639,1
Cluster 1637,1
Cluster 1636,1
Cluster 1635,1
Cluster 1632,1
Cluster 1667,1
Cluster 1668,1
Cluster 1669,1
Cluster 1670,1
Cluster 1703,1
Cluster 1702,1
Cluster 1701,1
Cluster 1699,1
Cluster 1698,1
Cluster 1697,1
Cluster 1696,1
Cluster 1695,1
Cluster 1693,1
Cluster 1691,1
Cluster 1690,1
Cluster 1417,1
Cluster 1688,1
Cluster 1686,1
Cluster 1685,1
Cluster 1684,1
Cluster 1683,1
Cluster 1681,1
Cluster 1679,1
Cluster 1677,1
Cluster 1676,1
Cluster 1674,1
Cluster 1673,1
Cluster 1672,1
Cluster 1687,1
Cluster 1415,1
Cluster 1413,1
Cluster 1411,1
Cluster 1094,1
Cluster 1083,1
Cluster 1081,1
Cluster 1078,1
Cluster 1073,1
Cluster 1067,1
Cluster 1065,1
Cluster 1062,1
Cluster 1061,1
Cluster 1059,1
Cluster 1057,1
Cluster 1055,1
Cluster 1054,1
Cluster 1049,1
Cluster 1048,1
Cluster 1046,1
Cluster 1045,1
Cluster 1044,1
Cluster 1042,1
Cluster 1041,1
Cluster 1038,1
Cluster 1036,1
Cluster 1035,1
Cluster 1095,1
Cluster 1034,1
Cluster 1097,1
Cluster 1099,1
Cluster 1170,1
Cluster 1169,1
Cluster 1166,1
Cluster 1150,1
Cluster 1147,1
Cluster 1144,1
Cluster 1141,1
Cluster 1139,1
Cluster 1135,1
Cluster 1134,1
Cluster 1121,1
Cluster 1119,1
Cluster 1118,1
Cluster 1116,1
Cluster 1112,1
Cluster 1111,1
Cluster 1109,1
Cluster 1107,1
Cluster 1106,1
Cluster 1105,1
Cluster 1104,1
Cluster 1103,1
Cluster 1101,1
Cluster 1098,1
Cluster 1031,1
Cluster 1030,1
Cluster 1029,1
Cluster 957,1
Cluster 956,1
Cluster 952,1
Cluster 951,1
Cluster 949,1
Cluster 947,1
Cluster 945,1
Cluster 943,1
Cluster 940,1
Cluster 935,1
Cluster 934,1
Cluster 931,1
Cluster 930,1
Cluster 923,1
Cluster 919,1
Cluster 918,1
Cluster 914,1
Cluster 910,1
Cluster 909,1
Cluster 905,1
Cluster 896,1
Cluster 886,1
Cluster 885,1
Cluster 958,1
Cluster 959,1
Cluster 960,1
Cluster 961,1
Cluster 1028,1
Cluster 1027,1
Cluster 1019,1
Cluster 1018,1
Cluster 1015,1
Cluster 1008,1
Cluster 1007,1
Cluster 1006,1
Cluster 1003,1
Cluster 999,1
Cluster 998,1
Cluster 1173,1
Cluster 992,1
Cluster 988,1
Cluster 984,1
Cluster 983,1
Cluster 982,1
Cluster 978,1
Cluster 976,1
Cluster 975,1
Cluster 974,1
Cluster 969,1
Cluster 964,1
Cluster 963,1
Cluster 990,1
Cluster 1795,1
Cluster 1175,1
Cluster 2357,1
Cluster 1348,1
Cluster 1347,1
Cluster 1344,1
Cluster 1343,1
Cluster 1340,1
Cluster 1339,1
Cluster 1338,1
Cluster 1335,1
Cluster 1334,1
Cluster 1333,1
Cluster 1325,1
Cluster 1324,1
Cluster 1323,1
Cluster 1318,1
Cluster 1317,1
Cluster 1315,1
Cluster 1314,1
Cluster 1312,1
Cluster 1309,1
Cluster 1308,1
Cluster 1307,1
Cluster 1303,1
Cluster 1302,1
Cluster 1352,1
Cluster 1299,1
Cluster 1355,1
Cluster 1361,1
Cluster 1410,1
Cluster 1409,1
Cluster 1405,1
Cluster 1403,1
Cluster 1401,1
Cluster 1400,1
Cluster 1396,1
Cluster 1394,1
Cluster 1393,1
Cluster 1392,1
Cluster 1390,1
Cluster 1388,1
Cluster 1384,1
Cluster 1383,1
